title_clean,bayesian_score,num_ratings,avg_rating
"Shawshank Redemption, The",4.399762662255731,16041,4.409357271990524
"Godfather, The",4.30440247453728,10318,4.317987982167087
"Usual Suspects, The",4.264139351912084,10582,4.276838026838027
Parasite,4.244479984016812,1820,4.316758241758242
"Godfather: Part II, The",4.244224704728276,6668,4.263947210557888
Schindler's List,4.234704044213301,11450,4.246069868995633
Fight Club,4.2235386327944004,11962,4.2342835646213
12 Angry Men,4.2207474019556415,3440,4.257994186046512
Rear Window,4.210852849357396,3888,4.2434413580246915
Seven Samurai (Shichinin no samurai),4.198663248388039,2580,4.247093023255814
